# Synths Manifest - Generated 2025-12-25 00:26:36
Name,Path,Modified,Firmware,Sample Count,Samples
"SYNT048","SYNTHS/SYNT048.XML",2025-12-24,2.0.0-beta,0,""
"SYNT049","SYNTHS/SYNT049.XML",2025-12-24,,0,""
"SYNT050","SYNTHS/SYNT050.XML",2025-12-24,,0,""
"SYNT050A","SYNTHS/SYNT050A.XML",2025-12-24,4.0.0,0,""
"SYNT051","SYNTHS/SYNT051.XML",2025-12-24,2.0.0-beta,0,""
"SYNT052","SYNTHS/SYNT052.XML",2025-12-24,,0,""
"SYNT053","SYNTHS/SYNT053.XML",2025-12-24,2.0.0-beta,0,""
"SYNT053A","SYNTHS/SYNT053A.XML",2025-12-24,4.0.0,0,""
"SYNT054","SYNTHS/SYNT054.XML",2025-12-24,,0,""
"SYNT055","SYNTHS/SYNT055.XML",2025-12-24,,0,""
"SYNT055A","SYNTHS/SYNT055A.XML",2025-12-24,4.0.1,0,""
"SYNT055B","SYNTHS/SYNT055B.XML",2025-12-24,4.0.1,0,""
"SYNT056","SYNTHS/SYNT056.XML",2025-12-24,2.0.0-beta,0,""
"SYNT057","SYNTHS/SYNT057.XML",2025-12-24,,0,""
"SYNT058","SYNTHS/SYNT058.XML",2025-12-24,,0,""
"SYNT059","SYNTHS/SYNT059.XML",2025-12-24,2.0.0-beta,0,""
"SYNT060","SYNTHS/SYNT060.XML",2025-12-24,2.0.0-beta,0,""
"SYNT061","SYNTHS/SYNT061.XML",2025-12-24,2.0.0-beta,0,""
"SYNT062","SYNTHS/SYNT062.XML",2025-12-24,,0,""
"SYNT063","SYNTHS/SYNT063.XML",2025-12-24,,0,""
"SYNT064","SYNTHS/SYNT064.XML",2025-12-24,2.0.0-beta,0,""
"SYNT065","SYNTHS/SYNT065.XML",2025-12-24,,0,""
"SYNT066","SYNTHS/SYNT066.XML",2025-12-24,,0,""
"SYNT067","SYNTHS/SYNT067.XML",2025-12-24,,0,""
"SYNT068","SYNTHS/SYNT068.XML",2025-12-24,,0,""
"SYNT069","SYNTHS/SYNT069.XML",2025-12-24,,0,""
"SYNT070","SYNTHS/SYNT070.XML",2025-12-24,,0,""
"SYNT071","SYNTHS/SYNT071.XML",2025-12-24,2.0.0-beta,0,""
"SYNT072","SYNTHS/SYNT072.XML",2025-12-24,2.0.0-beta,0,""
"SYNT073","SYNTHS/SYNT073.XML",2025-12-24,,0,""
"SYNT074","SYNTHS/SYNT074.XML",2025-12-24,,0,""
"SYNT075","SYNTHS/SYNT075.XML",2025-12-24,,0,""
"SYNT076","SYNTHS/SYNT076.XML",2025-12-24,,0,""
"SYNT077","SYNTHS/SYNT077.XML",2025-12-24,2.0.0-beta,0,""
"SYNT078","SYNTHS/SYNT078.XML",2025-12-24,,0,""
"SYNT079","SYNTHS/SYNT079.XML",2025-12-24,2.0.0-beta,0,""
"SYNT080","SYNTHS/SYNT080.XML",2025-12-24,,0,""
"SYNT080A","SYNTHS/SYNT080A.XML",2025-12-24,4.0.0,0,""
"SYNT081","SYNTHS/SYNT081.XML",2025-12-24,2.0.0-beta,0,""
"SYNT082","SYNTHS/SYNT082.XML",2025-12-24,,0,""
"SYNT083","SYNTHS/SYNT083.XML",2025-12-24,,0,""
"SYNT084","SYNTHS/SYNT084.XML",2025-12-24,,0,""
"SYNT085","SYNTHS/SYNT085.XML",2025-12-24,2.0.0-beta,0,""
"SYNT085A","SYNTHS/SYNT085A.XML",2025-12-24,4.0.0,0,""
"SYNT086","SYNTHS/SYNT086.XML",2025-12-24,2.0.0-beta,0,""
"SYNT086A","SYNTHS/SYNT086A.XML",2025-12-24,4.0.0,0,""
"SYNT087","SYNTHS/SYNT087.XML",2025-12-24,2.0.0-beta,0,""
"SYNT088","SYNTHS/SYNT088.XML",2025-12-24,2.0.0-beta,0,""
"SYNT089","SYNTHS/SYNT089.XML",2025-12-24,2.0.0-beta,0,""
"SYNT090","SYNTHS/SYNT090.XML",2025-12-24,,0,""
"SYNT091","SYNTHS/SYNT091.XML",2025-12-24,,0,""
"SYNT092","SYNTHS/SYNT092.XML",2025-12-24,2.0.0-beta,0,""
"SYNT093","SYNTHS/SYNT093.XML",2025-12-24,,0,""
"SYNT094","SYNTHS/SYNT094.XML",2025-12-24,2.0.0-beta,0,""
"SYNT095","SYNTHS/SYNT095.XML",2025-12-24,,0,""
"SYNT096","SYNTHS/SYNT096.XML",2025-12-24,2.0.0-beta,0,""
"SYNT097","SYNTHS/SYNT097.XML",2025-12-24,,0,""
"SYNT098","SYNTHS/SYNT098.XML",2025-12-24,2.0.0-beta,0,""
"SYNT099","SYNTHS/SYNT099.XML",2025-12-24,2.0.0-beta,0,""
"SYNT100","SYNTHS/SYNT100.XML",2025-12-24,2.0.0-beta,0,""
"SYNT101","SYNTHS/SYNT101.XML",2025-12-24,2.0.0-beta,0,""
"SYNT102","SYNTHS/SYNT102.XML",2025-12-24,,0,""
"SYNT103","SYNTHS/SYNT103.XML",2025-12-24,2.0.0-beta,0,""
"SYNT104","SYNTHS/SYNT104.XML",2025-12-24,,0,""
"SYNT105","SYNTHS/SYNT105.XML",2025-12-24,2.0.0-beta,0,""
"SYNT106","SYNTHS/SYNT106.XML",2025-12-24,2.0.0-beta,0,""
"SYNT107","SYNTHS/SYNT107.XML",2025-12-24,2.0.0-beta,0,""
"SYNT108","SYNTHS/SYNT108.XML",2025-12-24,2.0.0-beta,0,""
"SYNT109","SYNTHS/SYNT109.XML",2025-12-24,2.0.0-beta,0,""
"SYNT110","SYNTHS/SYNT110.XML",2025-12-24,2.0.0-beta,0,""
"SYNT111","SYNTHS/SYNT111.XML",2025-12-24,2.0.0-beta,0,""
"SYNT112","SYNTHS/SYNT112.XML",2025-12-24,2.0.0-beta,0,""
"SYNT113","SYNTHS/SYNT113.XML",2025-12-24,2.0.0-beta,0,""
"SYNT114","SYNTHS/SYNT114.XML",2025-12-24,2.0.0-beta,0,""
"SYNT115","SYNTHS/SYNT115.XML",2025-12-24,2.0.0-beta,0,""
"SYNT116","SYNTHS/SYNT116.XML",2025-12-24,2.0.0-beta,0,""
"SYNT117","SYNTHS/SYNT117.XML",2025-12-24,2.0.0-beta,0,""
"SYNT118","SYNTHS/SYNT118.XML",2025-12-24,2.0.0-beta,0,""
"SYNT119","SYNTHS/SYNT119.XML",2025-12-24,2.0.0-beta,0,""
"SYNT120","SYNTHS/SYNT120.XML",2025-12-24,2.0.0-beta,0,""
"SYNT121","SYNTHS/SYNT121.XML",2025-12-24,2.0.0-beta,0,""
"SYNT122","SYNTHS/SYNT122.XML",2025-12-24,2.0.0-beta,0,""
"SYNT123","SYNTHS/SYNT123.XML",2025-12-24,,0,""
"SYNT124","SYNTHS/SYNT124.XML",2025-12-24,,0,""
"SYNT125","SYNTHS/SYNT125.XML",2025-12-24,2.0.0-beta,0,""
"SYNT126","SYNTHS/SYNT126.XML",2025-12-24,,0,""
"SYNT127","SYNTHS/SYNT127.XML",2025-12-24,,0,""
"SYNT128","SYNTHS/SYNT128.XML",2025-12-24,2.0.0-beta,0,""
"SYNT129","SYNTHS/SYNT129.XML",2025-12-24,2.0.0-beta,0,""
"SYNT130","SYNTHS/SYNT130.XML",2025-12-24,2.0.0-beta,0,""
"SYNT131","SYNTHS/SYNT131.XML",2025-12-24,2.0.0-beta,0,""
"SYNT132","SYNTHS/SYNT132.XML",2025-12-24,,0,""
"SYNT133","SYNTHS/SYNT133.XML",2025-12-24,2.0.0-beta,0,""
"SYNT134","SYNTHS/SYNT134.XML",2025-12-24,2.0.0-beta,0,""
"SYNT135","SYNTHS/SYNT135.XML",2025-12-24,2.0.0-beta,0,""
"SYNT136","SYNTHS/SYNT136.XML",2025-12-24,2.0.0-beta,0,""
"SYNT137","SYNTHS/SYNT137.XML",2025-12-24,2.0.0-beta,0,""
"SYNT138","SYNTHS/SYNT138.XML",2025-12-24,2.0.0-beta,0,""
"SYNT139","SYNTHS/SYNT139.XML",2025-12-24,2.0.0-beta,0,""
"SYNT140","SYNTHS/SYNT140.XML",2025-12-24,2.0.0-beta,0,""
"SYNT141","SYNTHS/SYNT141.XML",2025-12-24,2.0.0-beta,0,""
"SYNT142","SYNTHS/SYNT142.XML",2025-12-24,2.0.0-beta,0,""
"SYNT142A","SYNTHS/SYNT142A.XML",2025-12-24,4.0.1,0,""
"SYNT143","SYNTHS/SYNT143.XML",2025-12-24,2.0.0-beta,0,""
"SYNT143A","SYNTHS/SYNT143A.XML",2025-12-24,4.0.1,0,""
"SYNT144","SYNTHS/SYNT144.XML",2025-12-24,2.0.0-beta,0,""
"SYNT145","SYNTHS/SYNT145.XML",2025-12-24,,0,""
"SYNT146","SYNTHS/SYNT146.XML",2025-12-24,2.0.0-beta,0,""
"SYNT147","SYNTHS/SYNT147.XML",2025-12-24,2.0.0-beta,0,""
"SYNT148","SYNTHS/SYNT148.XML",2025-12-24,2.0.0-beta,0,""
"SYNT149","SYNTHS/SYNT149.XML",2025-12-24,2.0.0-beta,0,""
"SYNT150","SYNTHS/SYNT150.XML",2025-12-24,2.0.0-beta,0,""
"SYNT151","SYNTHS/SYNT151.XML",2025-12-24,2.0.0-beta,0,""
"SYNT152","SYNTHS/SYNT152.XML",2025-12-24,2.0.0-beta,0,""
"SYNT153","SYNTHS/SYNT153.XML",2025-12-24,2.0.0-beta,0,""
"SYNT154","SYNTHS/SYNT154.XML",2025-12-24,,0,""
"SYNT155","SYNTHS/SYNT155.XML",2025-12-24,,0,""
"SYNT156","SYNTHS/SYNT156.XML",2025-12-24,,0,""
"SYNT157","SYNTHS/SYNT157.XML",2025-12-24,,0,""
"SYNT158","SYNTHS/SYNT158.XML",2025-12-24,2.0.0-beta,0,""
"SYNT159","SYNTHS/SYNT159.XML",2025-12-24,2.0.0-beta,0,""
"SYNT160","SYNTHS/SYNT160.XML",2025-12-24,2.0.0-beta,0,""
"SYNT161","SYNTHS/SYNT161.XML",2025-12-24,2.0.0-beta,0,""
"SYNT162","SYNTHS/SYNT162.XML",2025-12-24,2.0.0-beta,0,""
"SYNT163","SYNTHS/SYNT163.XML",2025-12-24,2.0.0-beta,0,""
"SYNT164","SYNTHS/SYNT164.XML",2025-12-24,2.0.0-beta,0,""
"SYNT164A","SYNTHS/SYNT164A.XML",2025-12-24,4.0.0,0,""
"SYNT164B","SYNTHS/SYNT164B.XML",2025-12-24,4.0.1,0,""
"SYNT165","SYNTHS/SYNT165.XML",2025-12-24,2.0.0-beta,0,""
"SYNT166","SYNTHS/SYNT166.XML",2025-12-24,2.0.0-beta,0,""
"SYNT167","SYNTHS/SYNT167.XML",2025-12-24,2.0.0-beta,0,""
"SYNT168","SYNTHS/SYNT168.XML",2025-12-24,2.1.0,2,"SAMPLES/Artists/Leonard Ludvigsen/Hangdrum/1.wav; SAMPLES/Artists/Leonard Ludvigsen/Hangdrum/2.wav"
